experiment,case,threads,iterations,size,bcc_start_delay_ms,bcc_post_delay_ms,repeats,expected_blocks,expected_bytes,detected_blocks,detected_bytes,byte_delta,match_rate,stack_groups,benchmark_stack_groups,benchmark_stack_hit,symbolized,has_stack,unknown_frames,runtime_ms,notes
priority_20260721_bcc_end_window_attached_p12000,growth_leak,2,2000,64,2000,12000,3,4000,256000,4000.0,256000.0,0.0,100.0%,5.0,1.0,100.0%,100.0%,100.0%,1.0,14051.3,coarse benchmark stack attribution; ignored non-benchmark stacks: 4 stacks/151004128 bytes
priority_20260721_bcc_end_window_attached_p7000,growth_leak,2,2000,64,2000,7000,3,4000,256000,4000.0,256000.0,0.0,100.0%,4.7,1.0,100.0%,100.0%,100.0%,1.0,9162.7,coarse benchmark stack attribution; ignored non-benchmark stacks: 3 stacks/16786400 bytes; coarse benchmark stack attribution; ignored non-benchmark stacks: 4 stacks/151004128 bytes
priority_20260721_bcc_end_window_attached_p9000,growth_leak,2,2000,64,2000,9000,3,4000,256000,4000.0,256000.0,0.0,100.0%,5.3,1.0,100.0%,100.0%,100.0%,1.0,11049.7,coarse benchmark stack attribution; ignored non-benchmark stacks: 4 stacks/151004128 bytes; coarse benchmark stack attribution; ignored non-benchmark stacks: 5 stacks/218112992 bytes
priority_20260721_bcc_end_window_p12000,growth_leak,2,2000,64,0,12000,3,4000,256000,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0%,0.0%,0.0,12039.3,
priority_20260721_bcc_end_window_p7000,growth_leak,2,2000,64,0,7000,3,4000,256000,0.0,0.0,0.0,0.0%,1.0,0.0,0.0%,0.0%,100.0%,6.0,9141.7,unattributed stacks: 1 stacks/4096 bytes
priority_20260721_bcc_end_window_p9000,growth_leak,2,2000,64,0,9000,3,4000,256000,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0%,0.0%,0.0,9115.0,
second_round_20260718_bcc_growth_timing,growth_leak,2,2000,64,0,11000,3,4000,256000,2663.7,170474.7,-85525.3,0.0%,2.0,1.0,100.0%,100.0%,100.0%,1.0,16053.7,coarse benchmark stack attribution; ignored non-benchmark stacks: 1 stacks/384 bytes
