stage,stage_name,tracking_mode,pid_tid_cache,threads,size,duration,baseline_ops,with_hook_ops,overhead_pct,segment,count,total_cycles,avg_cycles,total_ns,avg_ns,profile_log,consumer_log
4,tracking,global,0,4,32,5,14183443.40,338720.80,97.6119,tracking_erase,1693609,1269008632,749.29,528776837.76,312.22,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t4_s32_d5.profile.csv,
5,record_write,global,0,4,32,5,14183443.40,63769.00,99.5504,hook_entry,1275426,165777312,129.98,69076298.63,54.16,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.consumer.log
5,record_write,global,0,4,32,5,14183443.40,63769.00,99.5504,guard,1275426,174921310,137.15,72886431.20,57.15,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.consumer.log
5,record_write,global,0,4,32,5,14183443.40,63769.00,99.5504,record_alloc_total,318856,24232918608,75999.57,10097402968.66,31667.60,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.consumer.log
5,record_write,global,0,4,32,5,14183443.40,63769.00,99.5504,record_free_total,318858,23014180248,72176.89,9589577537.75,30074.76,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.consumer.log
5,record_write,global,0,4,32,5,14183443.40,63769.00,99.5504,writer_mutex_wait,637706,35110399572,55057.35,14629845401.79,22941.36,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.consumer.log
5,record_write,global,0,4,32,5,14183443.40,63769.00,99.5504,writer_mutex_hold,637706,7538217290,11820.83,3141033850.43,4925.52,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.consumer.log
5,record_write,global,0,4,32,5,14183443.40,63769.00,99.5504,sample_filter,318856,76386020,239.56,31828622.78,99.82,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.consumer.log
5,record_write,global,0,4,32,5,14183443.40,63769.00,99.5504,tracking_insert,318856,607846760,1906.34,253278351.58,794.33,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.consumer.log
5,record_write,global,0,4,32,5,14183443.40,63769.00,99.5504,tracking_lookup,318850,237009194,743.33,98757288.70,309.73,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.consumer.log
5,record_write,global,0,4,32,5,14183443.40,63769.00,99.5504,tracking_erase,318850,475654054,1491.78,198196128.77,621.60,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.consumer.log
