main_stage,main_stage_name,sub_stage,sub_stage_name,tracking_mode,pid_tid_cache,threads,size,total_ops,iters_per_thread,alloc_pattern,baseline_elapsed_sec,baseline_ops,with_hook_elapsed_sec,with_hook_ops,elapsed_over_baseline_sec,records,consumer_log
0,baseline,0,baseline,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.045252796,22098082.07,0.045252796,22098082.07,0.000000000,0,
6,stage6_optimized,33,stage6_opt_full_notify,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.045252796,22098082.07,1.261869194,792475.17,1.216616398,2002032,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage33_stage6_opt_full_notify_t8_s32_ops1000000.consumer.log
0,baseline,0,baseline,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.046092709,21695405.23,0.046092709,21695405.23,0.000000000,0,
6,stage6_optimized,33,stage6_opt_full_notify,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.046092709,21695405.23,1.331684029,750928.88,1.285591320,2002064,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage33_stage6_opt_full_notify_t16_s32_ops1000000.consumer.log
