threads,size,duration,flush_threshold,sample_interval,filter_size,baseline_ops,with_hook_ops,overhead_pct,records,alloc,free,thread_name,flush,dropped,avg_batch
1,32,1,20,1,-1,17241121.00,314497.00,98.1759,629624,314499,314495,630,31476,0,20.0033
1,32,1,20,10,-1,17241121.00,1993077.00,88.4400,399003,199302,199301,400,19948,0,20.0022
1,32,1,20,100,-1,17241121.00,4269369.00,75.2373,85460,42687,42686,87,4273,0,20
1,32,1,20,1000,-1,17241121.00,4860177.00,71.8106,9720,4855,4854,11,486,0,20
1,32,1,20,10000,-1,17241121.00,4906909.00,71.5395,981,490,489,2,49,0,20.0204
1,32,1,20,100000,-1,17241121.00,4940880.00,71.3425,101,50,49,2,5,0,20.2
